ChEBI_ID,Synonyms
CHEBI:76737,ec 1.10.* (oxidoreductase acting on diphenols and related substances as donors) inhibitors
CHEBI:76737,inhibitor of an oxidoreductase acting on diphenols and related substances as donor (ec 1.10.*)
CHEBI:76737,inhibitors of an oxidoreductase acting on diphenols and related substances as donor (ec 1.10.*)
CHEBI:76737,ec 1.10.* inhibitors
CHEBI:76737,inhibitor of an oxidoreductase acting on diphenols and related substances as donors
CHEBI:76737,ec 1.10.* (oxidoreductases acting on diphenols and related substances as donors) inhibitors
CHEBI:76737,inhibitor of an oxidoreductase acting on diphenols and related substances as donor
CHEBI:76737,inhibitors of an oxidoreductase acting on diphenols and related substances as donors
CHEBI:76737,ec 1.10.* inhibitor
CHEBI:76737,inhibitors of an oxidoreductase acting on diphenols and related substances as donor
CHEBI:76737,ec 1.10.* (oxidoreductases acting on diphenols and related substances as donors) inhibitor
CHEBI:25435,mutagenic agent
CHEBI:25435,mutagenos
CHEBI:25435,mutagene
CHEBI:25435,mutageno
CHEBI:25435,mutagens
CHEBI:25435,mutagenes
CHEBI:33676,d-block compounds
CHEBI:33676,d-block molecular entities
CHEBI:76989,phytoestrogens
CHEBI:29034,fe(3+)
CHEBI:29034,ferric iron
CHEBI:29034,ferric ion
CHEBI:29034,fe3+
CHEBI:29034,fe (iii) ion
CHEBI:29034,"iron, ion (fe(3+))"
CHEBI:29034,fe(iii)
CHEBI:58464,"a nucleoside 3',5'-cyclic phosphate"
CHEBI:58464,"nucleoside 3',5'-cyclic phosphate anions"
CHEBI:24964,ketodeoxyhexose phosphate
CHEBI:24964,deoxyketohexose phosphates
CHEBI:79089,ceria
CHEBI:79089,cerium(iv)dioxide
CHEBI:79089,ceo2
CHEBI:79089,cerium(iv) oxide
CHEBI:79089,cerium dioxide
CHEBI:79089,ceric dioxide
CHEBI:79089,cerium(4+) oxide
CHEBI:16914,o-carboxyphenol
CHEBI:16914,2-hydroxybenzoic acid
CHEBI:16914,2-carboxyphenol
CHEBI:16914,o-hydroxybenzoic acid
CHEBI:33233,elementary particles
CHEBI:17289,2-aminobutan-4-olide
CHEBI:17289,hsl
CHEBI:17289,alpha-amino-gamma-butyrolactone
CHEBI:17289,hsls
CHEBI:35276,ammonium compounds
CHEBI:33674,s-block compounds
CHEBI:33674,s-block molecular entities
CHEBI:67079,anti-inflammatory agents
CHEBI:67079,antiinflammatory agent
CHEBI:67079,antiinflammatory agents
CHEBI:27237,uridine phosphates
CHEBI:35224,enzyme modulator
CHEBI:28938,ammonium ion
CHEBI:28938,nh4(+)
CHEBI:28938,ammonium(1+)
CHEBI:28938,ammonium cation
CHEBI:28938,nh4+
CHEBI:28938,[nh4](+)
CHEBI:16215,[pho3](2-)
CHEBI:16215,phosphonate
CHEBI:16215,pho3(2-)
CHEBI:37848,plant growth factor
CHEBI:37848,plant hormones
CHEBI:37848,plant growth hormones
CHEBI:37848,phytohormones
CHEBI:37848,plant growth factors
CHEBI:37848,plant growth hormone
CHEBI:37848,phytohormone
CHEBI:29036,cupric ion
CHEBI:29036,cu2+
CHEBI:29036,cu(2+)
CHEBI:29036,"copper, ion (cu2+)"
CHEBI:29036,copper (ii) ion
CHEBI:29036,cu(ii)
CHEBI:29036,copper(ii) cation
CHEBI:37957,histamine agents
CHEBI:37957,histaminergic agent
CHEBI:37957,histaminergic agents
CHEBI:37957,histaminergic drugs
CHEBI:37957,histamine drugs
CHEBI:17115,beta-hydroxy-l-alanine
CHEBI:17115,(s)-serine
CHEBI:17115,beta-hydroxyalanine
CHEBI:17115,(s)-(-)-serine
CHEBI:17115,serine
CHEBI:17115,(2s)-2-amino-3-hydroxypropanoic acid
CHEBI:17115,s
CHEBI:17115,(s)-alpha-amino-beta-hydroxypropionic acid
CHEBI:17115,l-ser
CHEBI:17115,(s)-2-amino-3-hydroxypropanoic acid
CHEBI:17115,l-serin
CHEBI:17115,l-(-)-serine
CHEBI:17115,l-2-amino-3-hydroxypropionic acid
CHEBI:17115,l-3-hydroxy-2-aminopropionic acid
CHEBI:17115,l-3-hydroxy-alanine
CHEBI:17115,ser
CHEBI:35202,molybdenum coordination entities
CHEBI:35202,molybdenum coordination compounds
CHEBI:61404,2'-deoxyadenosine 5'-triphosphate(4-)
CHEBI:61404,2'-deoxyadenosine 5'-triphosphate
CHEBI:61404,2'-deoxyadenosine 5'-triphosphate tetraanion
CHEBI:61404,datp
CHEBI:61404,datp tetraanion
CHEBI:48218,antiseptic
CHEBI:48218,antiseptic agent
CHEBI:48218,local microbicides
CHEBI:48218,topical microbicides
CHEBI:48218,topical antiinfective agents
CHEBI:48218,local antiinfective agents
CHEBI:48218,antiseptic agents
CHEBI:48218,antiseptics
CHEBI:78377,acyl-coa dehydrogenase (nadp(+)) inhibitor
CHEBI:78377,crotonyl coenzyme a reductase inhibitor
CHEBI:78377,ec 1.3.1.8 inhibitors
CHEBI:78377,acyl-coa:nadp(+) 2-oxidoreductase inhibitors
CHEBI:78377,2-enoyl-coa reductase inhibitor
CHEBI:78377,crotonyl-coa reductase inhibitors
CHEBI:78377,crotonyl coenzyme a reductase inhibitors
CHEBI:78377,ec 1.3.1.8 inhibitor
CHEBI:78377,ec 1.3.1.8 [acyl-coa dehydrogenase (nadp(+))] inhibitors
CHEBI:78377,enoyl coenzyme a reductase inhibitor
CHEBI:78377,crotonyl-coa reductase inhibitor
CHEBI:78377,acyl-coa dehydrogenase (nadp(+)) (ec 1.3.1.8) inhibitor
CHEBI:78377,acyl-coa:nadp(+) 2-oxidoreductase inhibitor
CHEBI:78377,"dehydrogenase, acyl coenzyme a (nicotinamide adenine dinucleotide phosphate) inhibitors"
CHEBI:78377,"dehydrogenase, acyl coenzyme a (nicotinamide adenine dinucleotide phosphate) inhibitor"
CHEBI:78377,acyl-coa dehydrogenase (nadp(+)) inhibitors
CHEBI:78377,enoyl coenzyme a reductase inhibitors
CHEBI:78377,acyl-coa dehydrogenase (nadp(+)) (ec 1.3.1.8) inhibitors
CHEBI:78377,2-enoyl-coa reductase inhibitors
CHEBI:27364,zinc compounds
CHEBI:27364,zinc molecular entities
CHEBI:27568,selenium
CHEBI:27568,34se
CHEBI:27568,se
CHEBI:27568,selen
CHEBI:27568,selenio
CHEBI:27027,micronutrients
CHEBI:27027,trace elements
CHEBI:63940,sodium wolframate
CHEBI:63940,sodium tungsten oxide
CHEBI:63940,"tungstic acid, disodium salt"
CHEBI:63940,disodium tetraoxotungstate
CHEBI:63940,sodium tetraoxotungstate(vi)
CHEBI:63940,disodium tungstate
CHEBI:63940,sodium tungstate(vi)
CHEBI:63940,na2wo4
CHEBI:26398,purine ribonucleoside triphosphates
CHEBI:17698,chlorocid
CHEBI:17698,chloramex
CHEBI:17698,"d-(-)-threo-1-p-nitrophenyl-2-dichloroacetylamino-1,3-propanediol"
CHEBI:17698,econochlor
CHEBI:17698,oleomycetin
CHEBI:17698,cloramfenicol
CHEBI:17698,chlornitromycin
CHEBI:17698,chloromycetin
CHEBI:17698,laevomycetinum
CHEBI:17698,chlorocol
CHEBI:17698,(-)-chloramphenicol
CHEBI:17698,levomycetin
CHEBI:17698,fenicol
CHEBI:17698,levomicetina
CHEBI:17698,globenicol
CHEBI:17698,"d-(-)-2,2-dichloro-n-(beta-hydroxy-alpha-(hydroxymethyl)-p-nitrophenylethyl)acetamide"
CHEBI:17698,chloramphenicolum
CHEBI:17698,sificetina
CHEBI:17698,halomycetin
CHEBI:17698,amphicol
CHEBI:24648,hydroxamic anion
CHEBI:24648,hydroxamates
CHEBI:24648,hydroxamate
CHEBI:24648,hydroxamic anions
CHEBI:24648,hydroxamic acid anions
CHEBI:47881,3-oxo acid
CHEBI:47881,3-oxomonocarboxylic acid
CHEBI:47881,3-oxomonocarboxylic acids
CHEBI:47881,3-oxo monocarboxylic acids
CHEBI:47881,3-keto acid
CHEBI:57932,(2r)-2-ammonio-4-(methylsulfanyl)butanoate
CHEBI:57932,d-methionine
CHEBI:50858,corticosteroids
CHEBI:50858,corticosteroides
CHEBI:50858,corticoides
CHEBI:32439,alanine anion
CHEBI:76848,oxidoreductase acting on ch or ch2 with a disulfide as acceptor (ec 1.17.4.*) inhibitors
CHEBI:76848,ec 1.17.4.* (oxidoreductase acting on ch or ch2 with a disulfide as acceptor) inhibitors
CHEBI:76848,ec 1.17.4.* inhibitor
CHEBI:76848,oxidoreductase acting on ch or ch2 with a disulfide as acceptor (ec 1.17.4.*) inhibitor
CHEBI:76848,ec 1.17.4.* inhibitors
CHEBI:24455,guanosine phosphates
CHEBI:33561,d-block elements
CHEBI:33561,d-block element
CHEBI:16857,l-alpha-amino-beta-hydroxybutyric acid
CHEBI:16857,l-threonin
CHEBI:16857,"(2s,3r)-(-)-threonine"
CHEBI:16857,(2s)-threonine
CHEBI:16857,thr
CHEBI:16857,2-amino-3-hydroxybutyric acid
CHEBI:16857,"(2s,3r)-2-amino-3-hydroxybutanoic acid"
CHEBI:16857,l-(-)-threonine
CHEBI:16857,l-2-amino-3-hydroxybutyric acid
CHEBI:16857,threonine
CHEBI:16857,t
CHEBI:32840,(2r)-2-amino-3-hydroxypropanoate
CHEBI:32840,d-serine anion
CHEBI:33299,alkaline earth compounds
CHEBI:33299,alkaline earth molecular entities
CHEBI:33299,alkaline-earth compounds
CHEBI:3259,[(3-chlorophenyl)hydrazono]propanedinitrile
CHEBI:3259,carbonyl cyanide m-chlorophenyl hydrazone
CHEBI:3259,[(3-chlorophenyl)hydrazono]malononitrile
CHEBI:3259,carbonylcyanide-3-chlorophenylhydrazone
CHEBI:3259,(3-chlorophenyl)hydrazonomalononitrile
CHEBI:32690,[(1r)-1-carboxy-4-guanidiniobutyl]ammonium
CHEBI:32690,d-arginine dication
CHEBI:76697,ec 5.99.* (other isomerase) inhibitor
CHEBI:76697,ec 5.99.* (other isomerases) inhibitors
CHEBI:76697,ec 5.99.* inhibitor
CHEBI:76697,ec 5.99.* (miscellaneous isomerases) inhibitor
CHEBI:76697,ec 5.99.* (other isomerase) inhibitors
CHEBI:76697,ec 5.99.* inhibitors
CHEBI:76697,ec 5.99.* (miscellaneous isomerases) inhibitors
CHEBI:17984,acyl coenzyme a
CHEBI:26558,ribonucleoside monophosphates
CHEBI:49107,thiamine dication
CHEBI:30465,[teo(oh)2]
CHEBI:30465,h2teo3
CHEBI:30465,tellurige saeure
CHEBI:15705,l-alpha-amino acids
CHEBI:15705,l-amino acid
CHEBI:15705,l-2-amino acid
CHEBI:35620,vasodilator
CHEBI:35620,vasodilator agents
CHEBI:58065,2-ammonio-4-sulfanylbutanoate
CHEBI:27137,trioses
CHEBI:63789,(s)-3-(3-ketohexanamido)butyrolactone
CHEBI:63789,(s)-3-(3-oxohexanamido)butyrolactone
CHEBI:63789,(s)-3-(3-ketohexanamido)-2-oxotetrahydrofuran
CHEBI:63789,n-(3-ketocaproyl)-l-homoserine lactone
CHEBI:63789,(s)-3-(3-oxohexanamido)-2-oxotetrahydrofuran
CHEBI:63789,n-(3-ketohexanoyl)-l-homoserine lactone
CHEBI:63789,n-(beta-ketocaproyl)-l-homoserine lactone
CHEBI:16398,dth
CHEBI:16398,d-2-amino-3-hydroxybutyric acid
CHEBI:16398,"(2r,3s)-2-amino-3-hydroxybutanoic acid"
CHEBI:16398,d-threonin
CHEBI:51852,alpha-ketonitriles
CHEBI:15595,"hydroxybutanedioic acid, ion(2-)"
CHEBI:15595,malate
CHEBI:15595,malate dianion
CHEBI:15595,mal
CHEBI:15595,malate anion
CHEBI:24869,ionophores
CHEBI:37121,guanosine 5'-phosphates
CHEBI:40721,amp(1+)
CHEBI:40721,n1-protonated adenosine-5'-monophosphate
CHEBI:17032,2-keto-3-deoxy-d-gluconate
CHEBI:17032,3-deoxy-d-erythro-2-hexulosonic acid
CHEBI:17032,3-deoxy-2-oxo-d-gluconate
CHEBI:17032,2-dehydro-3-deoxy-d-gluconate
CHEBI:33707,gamma-amino acids
CHEBI:21731,n-glycosides
CHEBI:21731,n-glycoside
CHEBI:21731,glycosylamines
CHEBI:21731,n-glycosyl compounds
CHEBI:72755,kanamycin c
CHEBI:72755,kanamycin c tetracation
CHEBI:27311,ethereal oil component
CHEBI:27311,essential oil components
CHEBI:27311,volatile oil components
CHEBI:27311,essential oil component
CHEBI:27311,ethereal oil components
CHEBI:38157,iron chelators
CHEBI:38157,iron chelating agents
CHEBI:25750,oximes
CHEBI:25710,organophosphorus compounds
CHEBI:16755,anthropodesoxycholic acid
CHEBI:16755,anthropodeoxycholic acid
CHEBI:16755,chenix
CHEBI:16755,cdca
CHEBI:16755,chenodiol
CHEBI:16755,gallodesoxycholic acid
CHEBI:16755,"3alpha,7alpha-dihydroxy-5beta-cholanic acid"
CHEBI:16755,7alpha-hydroxylithocholic acid
CHEBI:16755,chenic acid
CHEBI:33187,oxopropanedinitrile
CHEBI:33187,mesoxalonitrile
CHEBI:33187,nc-co-cn
CHEBI:45506,alpha-d-rib
CHEBI:45506,ribose
CHEBI:45506,"wurcs=2.0/1,1,0/[a222h-1a_1-4]/1/"
CHEBI:36229,beta-d-galp-(1->6)-d-glcp
CHEBI:36229,6-o-beta-d-galactopyranosyl-d-glucopyranose
CHEBI:36229,beta-d-galacto-hexopyranosyl-(1->6)-d-gluco-hexopyranose
CHEBI:36229,"wurcs=2.0/2,2,1/[a2122h-1x_1-5][a2112h-1b_1-5]/1-2/a6-b1"
CHEBI:59777,ketals
CHEBI:76840,"ec 1.14.99.* (miscellaneous oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitors"
CHEBI:76840,ec 1.14.99.* inhibitors
CHEBI:76840,ec 1.14.99.* inhibitor
CHEBI:76840,"miscellaneous oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen (ec 1.14.99.*) inhibitors"
CHEBI:76840,"miscellaneous oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen (ec 1.14.99.*) inhibitor"
CHEBI:16199,carbamide
CHEBI:16199,carbonyldiamide
CHEBI:16199,karbamid
CHEBI:16199,uree
CHEBI:16199,1728
CHEBI:16199,ur
CHEBI:16199,e927b
CHEBI:16199,h2nc(o)nh2
CHEBI:16199,harnstoff
CHEBI:35342,17alpha-hydroxy steroids
CHEBI:35342,17-alpha-hydroxysteroid
CHEBI:27136,triols
CHEBI:76830,ec 5.99.1.* inhibitors
CHEBI:76830,ec 5.99.1.* (miscellaneous isomerase) inhibitors
CHEBI:76830,ec 5.99.1.* inhibitor
CHEBI:131657,cholane derivatives
CHEBI:26649,serine derivatives
CHEBI:30362,"1,1-dimethylpropane"
CHEBI:30362,(ch3)2ch-ch2-ch3
CHEBI:30362,r-601a
CHEBI:30362,"1,1,2-trimethylethane"
CHEBI:30362,dimethylethylmethane
CHEBI:30362,iso-c5h12
CHEBI:30362,iso-pentane
CHEBI:30362,isoamylhydride
CHEBI:32784,tyrosine anion
CHEBI:32784,2-amino-3-(4-hydroxyphenyl)propanoate
CHEBI:36699,adrenal cortex hormones
CHEBI:36699,corticosteroid hormones
CHEBI:50247,antidotes
CHEBI:22301,aldonic acids
CHEBI:50103,excitatory amino acid receptor agonist
CHEBI:50103,excitatory amino acid agonists
CHEBI:50103,excitatory amino acid receptor agonists
CHEBI:58722,2-acetamido-3-o-[(1r)-1-carboxylatoethyl]-2-deoxy-6-o-phosphonato-d-glucopyranose
CHEBI:58722,n-acetyl-d-muramate 6-phosphate
CHEBI:16189,sulfate ion
CHEBI:16189,sulphate
CHEBI:16189,so4(2-)
CHEBI:16189,sulfuric acid ion(2-)
CHEBI:16189,sulphate ion
CHEBI:16189,sulfate(2-)
CHEBI:16189,sulfate anion(2-)
CHEBI:16189,sulfate dianion
CHEBI:16189,[so4](2-)
CHEBI:33597,isocyclic compounds
CHEBI:35884,fosfina primaria
CHEBI:35884,fosfinas primarias
CHEBI:35884,phospnines primaires
CHEBI:61078,purine nucleoside bisphosphates
CHEBI:35544,ec 1.14.99.1 (cyclooxygenase) inhibitor
CHEBI:35544,fatty acid cyclooxygenase inhibitors
CHEBI:35544,prostaglandin synthase inhibitors
CHEBI:35544,fatty acid cyclooxygenase inhibitor
CHEBI:35544,cyclooxygenase (ec 1.14.99.1) inhibitor
CHEBI:35544,cyclooxygenase inhibitors
CHEBI:35544,cox inhibitor
CHEBI:35544,prostaglandin synthetase inhibitor
CHEBI:35544,cyclooxygenase inhibitor
CHEBI:35544,ec 1.14.99.1 (cyclooxygenase) inhibitors
CHEBI:35544,pg synthetase inhibitors
CHEBI:35544,"(5z,8z,11z,14z)-icosa-5,8,11,14-tetraenoate,hydrogen-donor:oxygen oxidoreductase inhibitor"
CHEBI:35544,pg synthetase inhibitor
CHEBI:35544,"(5z,8z,11z,14z)-icosa-5,8,11,14-tetraenoate,hydrogen-donor:oxygen oxidoreductase inhibitors"
CHEBI:35544,ec 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitors
CHEBI:35544,prostaglandin g/h synthase inhibitors
CHEBI:35544,(pg)h synthase inhibitors
CHEBI:35544,prostaglandin synthase inhibitor
CHEBI:35544,cyclooxygenase (ec 1.14.99.1) inhibitors
CHEBI:35544,prostaglandin endoperoxide synthetase inhibitors
CHEBI:35544,ec 1.14.99.1 inhibitors
CHEBI:35544,(pg)h synthase inhibitor
CHEBI:35544,ec 1.14.99.1 inhibitor
CHEBI:35544,prostaglandin synthetase inhibitors
CHEBI:35544,prostaglandin g/h synthase inhibitor
CHEBI:35544,prostaglandin endoperoxide synthetase inhibitor
CHEBI:60643,nmda receptor antagonists
CHEBI:60643,n-methyl-d-aspartate receptor antagonists
CHEBI:60643,nmdar antagonists
CHEBI:60643,n-methyl-d-aspartate receptor antagonist
CHEBI:60643,nmdar antagonist
CHEBI:28383,"alpha,omega-dicarboxylic acids"
CHEBI:28383,alpha(omega)-dicarboxylic acid
CHEBI:74529,tylenol poisoning antidote
CHEBI:74529,antidotes to paracetamol poisoning
CHEBI:74529,antidotes to tylenol poisoning
CHEBI:74529,paracetamol poisoning antidotes
CHEBI:74529,antidote to acetaminophen poisoning
CHEBI:74529,acetaminophen poisoning antidotes
CHEBI:74529,acetaminophen poisoning antidote
CHEBI:74529,antidote to tylenol poisoning
CHEBI:74529,antidotes to acetaminophen poisoning
CHEBI:74529,paracetamol poisoning antidote
CHEBI:74529,tylenol poisoning antidotes
CHEBI:68452,azoles
CHEBI:35605,oxoacids of carbon
CHEBI:35605,carbon oxoacids
CHEBI:72947,kanamycin d
CHEBI:75767,animal metabolites
CHEBI:33305,tellurium molecular entities
CHEBI:33305,tellurium compounds
CHEBI:22563,aniones
CHEBI:22563,anionen
CHEBI:22563,anions
CHEBI:23004,aminocarbonyl
CHEBI:23004,carbamyl group
CHEBI:23004,carbamyl
CHEBI:23004,-c(o)nh2
CHEBI:23004,carboxamide
CHEBI:23004,-conh2
CHEBI:58946,acyl-coa oxoanions
CHEBI:78616,carbohydrates and their derivatives
CHEBI:78616,carbohydrates and derivatives
CHEBI:64459,biaryls
CHEBI:33703,amino-acid cations
CHEBI:33703,amino acid cation
CHEBI:39270,naphthofurans
CHEBI:33341,titanium
CHEBI:33341,titanio
CHEBI:33341,22ti
CHEBI:33341,titan
CHEBI:33341,ti
CHEBI:33341,titane
CHEBI:36628,"1,8-diazanaphthalene"
CHEBI:36628,napy
CHEBI:36628,"1,8-pyridopyridine"
CHEBI:32442,(2r)-2-amino-3-mercaptopropanoate
CHEBI:32442,l-cysteine monoanion
CHEBI:32442,(2r)-2-amino-3-sulfanylpropanoate
CHEBI:32442,l-cysteine anion
CHEBI:57586,biotin
CHEBI:57586,biotin anion
CHEBI:51151,dipolar compounds
CHEBI:36873,anion radical
CHEBI:36873,radical anions
CHEBI:58231,cytidine 5'-triphosphate(3-)
CHEBI:58231,ctp trianion
CHEBI:58231,cytidine 5'-triphosphate
CHEBI:58231,cytidine 5'-triphosphate trianion
CHEBI:23123,chloroacetate anion
CHEBI:23123,monochloroacetate anion
CHEBI:23123,mono-chloroacetate
CHEBI:23123,chloroacetate(1-)
CHEBI:23123,monochloroacetic acid anion
CHEBI:23123,chloroacetic acid ion(1-)
CHEBI:51050,tio2 nanoparticle
CHEBI:12936,d-gal
CHEBI:16793,mercury (ii) ion
CHEBI:16793,hg(2+)
CHEBI:16793,mercuric ion
CHEBI:16793,hg2+
CHEBI:16793,mercury(ii) cation
CHEBI:16793,mercury(ii)
CHEBI:16793,mercury(2+) ion
CHEBI:50102,n-nitroso-n-methylharnstoff
CHEBI:50102,nmh
CHEBI:50102,n-nitroso-n-methylurea
CHEBI:50102,methylnitrosouree
CHEBI:50102,nitrosomethylurea
CHEBI:50102,mnu
CHEBI:50102,n-methyl-n-nitrosocarbamide
CHEBI:50102,n-nitrosomethylurea
CHEBI:50102,nmu
CHEBI:50102,n-methyl-n-nitrosoharnstoff
CHEBI:50102,n-nitroso-n-methyluree
CHEBI:50102,methylnitrosoharnstoff
CHEBI:50102,1-nitroso-1-methylurea
CHEBI:50102,methylnitrosourea
CHEBI:50102,n-methyl-n-nitrosouree
CHEBI:50102,n-nitroso-n-methylcarbamide
CHEBI:50102,1-(aminocarbonyl)-1-methyl-2-oxohydrazine
CHEBI:63436,carbohydrate acid derivatives
CHEBI:35470,cns agent
CHEBI:35470,cns drugs
CHEBI:35470,central nervous system agents
CHEBI:52440,cephalosporincarboxylate
CHEBI:52440,cephalosporin carboxylates
CHEBI:52440,cephalosporin carboxylate
CHEBI:52440,cephalosporin carboxylic acid anions
CHEBI:50091,gsno
CHEBI:50091,glutathione thionitrite
CHEBI:50091,snog
CHEBI:50091,n-(n-l-gamma-glutamyl-s-nitroso-l-cysteinyl)glycine
CHEBI:50091,nitrosoglutathione
CHEBI:36249,conjugated bile acid
CHEBI:36249,conjugated bile acids
CHEBI:36249,bile acid conjugates
CHEBI:32449,d-cysteine monoanion
CHEBI:32449,(2s)-2-amino-3-mercaptopropanoate
CHEBI:32449,(2s)-2-amino-3-sulfanylpropanoate
CHEBI:22978,cadmium compounds
CHEBI:22978,cadmium molecular entities
CHEBI:32661,h2asp(+)
CHEBI:32661,asparagine cation
CHEBI:32661,3-amino-1-carboxy-3-oxopropan-1-aminium
CHEBI:25371,h2moo4
CHEBI:25371,[moo2(oh)2]
CHEBI:25371,molybdic(vi) acid
CHEBI:59769,acetals
CHEBI:35281,onium betaines
CHEBI:25697,organic cations
CHEBI:16284,2'-datp
CHEBI:16284,2'-deoxyadenosine 5'-triphosphate
CHEBI:16284,deoxyadenosine triphosphate
CHEBI:16284,2'-deoxyadenosine triphosphate
CHEBI:16284,deoxyadenosine 5'-triphosphate
CHEBI:16284,2'-deoxy-atp
CHEBI:58945,organophosphate oxoanions
CHEBI:35973,a 3-oxo acid
CHEBI:35973,3-oxo monocarboxylic acid anions
CHEBI:22194,acetyl-l-serines
CHEBI:22313,erdalkalimetall
CHEBI:22313,alkaline-earth metal
CHEBI:22313,metales alcalinoterreos
CHEBI:22313,metaux alcalino-terreux
CHEBI:22313,erdalkalimetalle
CHEBI:22313,metal alcalino-terreux
CHEBI:22313,metal alcalinoterreo
CHEBI:22313,alkaline-earth metals
CHEBI:22313,alkaline earth metal
CHEBI:33521,metal elements
CHEBI:33521,metal element
CHEBI:33521,elemental metals
CHEBI:33521,elemental metal
CHEBI:33521,metals
CHEBI:39179,picrite
CHEBI:35313,hexosides
CHEBI:33319,lanthanoid
CHEBI:33319,lanthanoidenreiche
CHEBI:33319,ln
CHEBI:33319,lanthanoide
CHEBI:33319,lanthanide
CHEBI:33319,lanthanoidengruppe
CHEBI:33319,lanthanides
CHEBI:78295,dietary component
CHEBI:78295,dietary components
CHEBI:78295,food components
CHEBI:63394,ketoaldonic acid derivatives
CHEBI:17968,n-butyrate
CHEBI:17968,1-butyrate
CHEBI:17968,ch3-[ch2]2-coo(-)
CHEBI:17968,"butanoic acid, ion(1-)"
CHEBI:17968,n-butanoate
CHEBI:17968,propanecarboxylate
CHEBI:17968,butanate
CHEBI:17968,propylformate
CHEBI:17968,1-propanecarboxylate
CHEBI:17968,butanoate
CHEBI:17968,1-butanoate
CHEBI:64382,organosulphonate salt
CHEBI:64382,organosulphonate salts
CHEBI:64382,organosulfonate salts
CHEBI:16040,4-amino-2(1h)-pyrimidinone
CHEBI:16040,cytosin
CHEBI:16040,zytosin
CHEBI:16040,4-amino-2-hydroxypyrimidine
CHEBI:16040,cyt
CHEBI:16040,c
CHEBI:65001,geh inhibitors
