ChEBI_ID,Metabolite Name
CHEBI:76848,ec 1.17.4.* (oxidoreductase acting on ch or ch2 with a disulfide as acceptor) inhibitor
CHEBI:22221,acyl group
CHEBI:44423,hydroxyurea
CHEBI:36059,hydroxy monocarboxylic acid anion
CHEBI:32628,leucinium
CHEBI:33543,sulfonate
CHEBI:15344,acetoacetic acid
CHEBI:35115,elemental manganese
CHEBI:78682,"d-fructose 1,6-bisphosphate"
CHEBI:16136,hydrogen sulfide
CHEBI:30531,pimelic acid
CHEBI:37261,cerium molecular entity
CHEBI:17032,2-dehydro-3-deoxy-d-gluconic acid
CHEBI:16467,l-arginine
CHEBI:24400,glycoside
CHEBI:24782,imide
CHEBI:35545,bipyridine
CHEBI:37565,gtp(4-)
CHEBI:51269,acenes
CHEBI:22479,amino cyclitol glycoside
CHEBI:36914,inorganic ion
CHEBI:72755,kanamycin c(4+)
CHEBI:24868,organic salt
CHEBI:18133,hexose
CHEBI:85184,dihydroxycholanic acid
CHEBI:50091,s-nitrosoglutathione
CHEBI:32440,alaninium
CHEBI:29034,iron(3+)
CHEBI:75596,ec 5.* (isomerase) inhibitor
CHEBI:51721,"alpha,beta-unsaturated ketone"
CHEBI:38717,carboxylic acid trianion
CHEBI:78737,fructose 1-phosphate
CHEBI:72695,organic molecule
CHEBI:25728,osmolyte
CHEBI:32442,l-cysteinate(1-)
CHEBI:37826,sulfuric acid derivative
CHEBI:59644,oxo fatty acid
CHEBI:29337,azanide
CHEBI:64577,flour treatment agent
CHEBI:16705,6-aminopenicillanic acid
CHEBI:25754,oxo carboxylic acid
CHEBI:15673,meso-tartaric acid
CHEBI:33520,tellurium oxoanion
CHEBI:52440,cephalosporin carboxylic acid anion
CHEBI:33917,aldohexose
CHEBI:51803,aminoacridines
CHEBI:26849,dl-tartaric acid
CHEBI:30879,alcohol
CHEBI:64558,methionine zwitterion
CHEBI:16716,benzene
CHEBI:35284,ammonium betaine
CHEBI:50745,progestogen
CHEBI:33341,titanium atom
CHEBI:38700,organic sodium salt
CHEBI:26873,terpenoid
CHEBI:33561,d-block element atom
CHEBI:50846,immunomodulator
CHEBI:17883,hydrogen chloride
CHEBI:32717,d-tryptophanium
CHEBI:35570,mancude organic heterobicyclic parent
CHEBI:35557,3h-pyrrole
CHEBI:35472,anti-inflammatory drug
CHEBI:25355,mitochondrial respiratory-chain inhibitor
CHEBI:55370,imidazolidinone
CHEBI:37123,nucleoside bisphosphate
CHEBI:25155,manganese cation
CHEBI:32688,d-argininate
CHEBI:25693,organic heteromonocyclic compound
CHEBI:24828,indoles
CHEBI:29075,mononucleotide
CHEBI:25430,monoatomic polycation
CHEBI:74529,antidote to paracetamol poisoning
CHEBI:32445,l-cysteinium
CHEBI:64106,protein kinase agonist
CHEBI:32846,serinium
CHEBI:25900,aldopentose phosphate
CHEBI:59203,straight-chain fatty acid anion
CHEBI:78947,archaeal metabolite
CHEBI:37262,cerium coordination entity
CHEBI:29640,n-(3-oxohexanoyl)homoserine lactone
CHEBI:59814,l-alpha-amino acid anion
CHEBI:36586,carbonyl compound
CHEBI:17258,7h-purine
CHEBI:26438,pyrimidine nucleoside monophosphate
CHEBI:35297,acene
CHEBI:59517,dna synthesis inhibitor
CHEBI:65328,l-xylose
CHEBI:57867,nucleoside 5'-phosphate dianion
CHEBI:77182,food colouring
CHEBI:50847,immunological adjuvant
CHEBI:27365,zinc ion
CHEBI:33768,titanium group molecular entity
CHEBI:75416,ec 6.1.1.* (ligases forming aminoacyl trna and related compounds) inhibitor
CHEBI:24592,hexuronic acid
CHEBI:6650,malic acid
CHEBI:77019,"ec 1.10.99.* (oxidoreductases acting on diphenols and related substances as donors, other acceptors) inhibitor"
CHEBI:29793,hydridodioxygen(1+)
CHEBI:33576,sulfur-containing carboxylic acid
CHEBI:47916,flavonoid
CHEBI:76760,ec 3.1.* (ester hydrolase) inhibitor
CHEBI:37659,oleanolic acid
CHEBI:61991,maltotriose trisaccharide
CHEBI:26806,succinate
CHEBI:15354,choline
CHEBI:37733,ec 3.1.1.8 (cholinesterase) inhibitor
CHEBI:60255,puromycin(1+)
CHEBI:33836,benzenoid aromatic compound
CHEBI:49786,nickel(2+)
CHEBI:64365,aralkylamino compound
CHEBI:47867,indicator
CHEBI:32697,argininium(2+)
CHEBI:33733,heteronuclear cluster
CHEBI:64600,c21-steroid hormone
CHEBI:21601,n-acetyl-d-hexosamine
CHEBI:84700,desferrioxamine b(3-)
CHEBI:26391,purine nucleoside diphosphate
CHEBI:57932,d-methionine zwitterion
CHEBI:25549,nitrites
CHEBI:76697,ec 5.99.* (other isomerases) inhibitor
CHEBI:36685,chlorocarboxylic acid
CHEBI:51851,ketonitrile
CHEBI:37622,carboxamide
CHEBI:8461,promethazine
CHEBI:2676,amoxicillin
CHEBI:36830,monoanion
CHEBI:33318,main group element atom
CHEBI:36273,sodium glycocholate
CHEBI:17796,l-idonate
CHEBI:35196,nitrogen oxide
CHEBI:17608,d-aldohexose
CHEBI:33901,fructuronates
CHEBI:22562,anilines
CHEBI:27568,selenium atom
CHEBI:22718,benzoates
CHEBI:17126,carnitine
CHEBI:50247,antidote
CHEBI:75495,ec 6.1.1.11 (serine--trna ligase) inhibitor
CHEBI:30911,glucitol
CHEBI:33856,aromatic amino acid
CHEBI:42266,ethane
CHEBI:24964,deoxyketohexose phosphate
CHEBI:22744,benzyl group
CHEBI:5653,hemiacetal
CHEBI:49601,fe2s2 iron-sulfur cluster
CHEBI:15570,d-alanine
CHEBI:88184,metal allergen
CHEBI:24996,lactate
CHEBI:3992,cyclic ketone
CHEBI:63070,beta-alaninate
CHEBI:37848,plant hormone
CHEBI:16733,d-alpha-amino acid
CHEBI:33345,titanium group element atom
CHEBI:26714,sodium salt
CHEBI:29033,iron(2+)
CHEBI:17836,4-aminobenzoate
CHEBI:55474,n-acyl-l-homoserine lactone
CHEBI:33704,alpha-amino acid
CHEBI:44976,phosphonic acid
CHEBI:27897,tryptophan
CHEBI:33798,tetraric acid anion
CHEBI:78113,fatty acid anion 3:0
CHEBI:25166,mannosamine
CHEBI:33364,platinum
CHEBI:27175,tyramines
CHEBI:37838,carboacyl group
CHEBI:66952,homocysteinate
CHEBI:50340,3-carbamimidamidopropyl group
CHEBI:25362,elemental molecule
CHEBI:60038,flavonoid oxoanion
CHEBI:3110,biotinyl-5'-amp
CHEBI:326268,"1,4-butanediammonium"
CHEBI:33191,potassium cyanide
CHEBI:24982,ketotriose
CHEBI:84055,pentose phosphate
CHEBI:50566,nitric oxide donor
CHEBI:36421,phenanthridine
CHEBI:33519,tellurium oxoacid
CHEBI:32656,d-asparaginate
CHEBI:38106,organosulfur heterocyclic compound
CHEBI:36828,pseudohalide anion
CHEBI:58549,kanamycin b(5+)
CHEBI:51356,penicillinate anion
CHEBI:52092,ethoxide
CHEBI:35558,2h-pyrrole
CHEBI:35267,quaternary ammonium ion
CHEBI:36962,organochalcogen compound
CHEBI:32728,tryptophanium
CHEBI:16867,d-methionine
CHEBI:36820,ring assembly
CHEBI:66916,alanine zwitterion
CHEBI:35716,c-nitro compound
CHEBI:76741,"ec 1.14.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor"
CHEBI:16523,d-serine
CHEBI:35571,mancude organic heterocyclic parent
CHEBI:64290,erythromycin cation
CHEBI:21336,l-idonic acid
CHEBI:71365,rifampicin zwitterion
CHEBI:64554,tryptophan zwitterion
CHEBI:63063,cadmium cation
CHEBI:33636,bicyclic compound
CHEBI:37156,maleate(1-)
CHEBI:35573,organic mancude parent
CHEBI:38303,azirinopyrroloindole
CHEBI:83811,proteinogenic amino acid derivative
CHEBI:51446,organic divalent group
CHEBI:16375,d-cysteine
CHEBI:35588,3h-purine
CHEBI:73079,kanamycin d
CHEBI:76725,ec 1.* (oxidoreductase) inhibitor
CHEBI:30031,succinate(2-)
CHEBI:75772,saccharomyces cerevisiae metabolite
CHEBI:3424,carnitinium
CHEBI:50689,reproductive control drug
CHEBI:113455,sodium benzoate
CHEBI:72756,kanamycin x(3+)
CHEBI:33186,malononitrile
CHEBI:91139,elastin-laminin receptor agonist
CHEBI:24810,indol-3-yl carboxylic acid
CHEBI:35235,l-cysteine zwitterion
CHEBI:16454,pantothenate
CHEBI:23906,monoatomic cation
CHEBI:58588,flavonol oxoanion
CHEBI:35106,nitrogen hydride
CHEBI:37155,hydrogen butenedioate
CHEBI:26830,sulfonium compound
CHEBI:17368,hypoxanthine
CHEBI:35410,primary diamine
CHEBI:35358,sulfonamide
CHEBI:26948,vitamin b1
CHEBI:29369,peroxy group
CHEBI:36270,tungsten oxoanion
CHEBI:15741,succinic acid
CHEBI:15356,cysteine
CHEBI:13248,anilide
CHEBI:24337,glutathione derivative
CHEBI:26764,steroid hormone
CHEBI:16398,d-threonine
CHEBI:18140,hydrogen halide
CHEBI:47266,hydrogen bromide
CHEBI:83403,monochlorobenzenes
CHEBI:50630,cyclooxygenase 1 inhibitor
CHEBI:37185,lead coordination entity
CHEBI:49870,antimonous acid
CHEBI:25646,octanoate
CHEBI:62944,sialic acid anion
CHEBI:75771,mouse metabolite
CHEBI:17879,4-hydroxybenzoate
CHEBI:15366,acetic acid
CHEBI:61560,2'-deoxyribonucleoside 5'-triphosphate(4-)
CHEBI:25223,methanesulfonate ester
CHEBI:51061,hormone receptor modulator
CHEBI:35405,transition element oxoanion
CHEBI:77115,ec 2.1.1.122 [(s)-tetrahydroprotoberberine n-methyltransferase] inhibitor
CHEBI:131604,mycoplasma genitalium metabolite
CHEBI:35623,anticonvulsant
CHEBI:33672,heterobicyclic compound
CHEBI:59554,medium-chain fatty acid
CHEBI:28869,menadione
CHEBI:50341,1-hydroxyethyl group
CHEBI:65056,ec 3.1.3.11 (fructose-bisphosphatase) inhibitor
CHEBI:24156,galactosamine
CHEBI:23007,carbohydrate-containing antibiotic
CHEBI:29320,calcium(0)
CHEBI:17668,ribonucleoside diphosphate
CHEBI:33659,organic aromatic compound
CHEBI:24829,indolones
CHEBI:45064,phosphite(3-)
CHEBI:23123,chloroacetate
CHEBI:46687,diazaalkane
CHEBI:16958,beta-alanine
CHEBI:27092,tricarboxylic acid trianion
CHEBI:37578,halide
CHEBI:16643,l-methionine
CHEBI:24648,hydroxamic acid anion
CHEBI:28024,cyanic acid
CHEBI:32613,isoleucinium
CHEBI:57694,quercetin-7-olate
CHEBI:25105,macrolide antibiotic
CHEBI:38623,ec 1.4.3.4 (monoamine oxidase) inhibitor
CHEBI:32845,serinate
CHEBI:59740,nucleophilic reagent
CHEBI:39203,dibenzopyran
CHEBI:21006,d-glucose monophosphate
CHEBI:86383,ec 5.3.3.* (intramolecular oxidase transposing c=c bonds) inhibitor
CHEBI:37577,heteroatomic molecular entity
CHEBI:33458,nitrogen oxoanion
CHEBI:26561,ribonucleotide
CHEBI:85046,skin lightening agent
CHEBI:57972,l-alanine zwitterion
CHEBI:33300,pnictogen
CHEBI:23612,deoxyadenosine phosphate
CHEBI:24835,inorganic molecular entity
CHEBI:35406,oxoanion
CHEBI:59779,cyclic ketal
CHEBI:16215,phosphonate(2-)
CHEBI:25810,oxopurine
CHEBI:16610,spermidine
CHEBI:47811,penamcarboxylate
CHEBI:24676,hydroxybenzoic acid
CHEBI:134441,titanium oxide nanoparticle
CHEBI:67142,nucleobase analogue
CHEBI:27171,organic heterobicyclic compound
CHEBI:77932,tetracycline zwitterion
CHEBI:50674,chitobioses
CHEBI:74337,d-asparagine zwitterion
CHEBI:51050,titanium dioxide nanoparticle
CHEBI:59683,antipruritic drug
CHEBI:58001,primary aliphatic ammonium ion
CHEBI:132362,citrate(4-)
CHEBI:76989,phytoestrogen
CHEBI:24650,hydroxamic acid
CHEBI:25214,metal-sulfur cluster
CHEBI:33434,elemental halogen
CHEBI:90749,antidote to cyanide poisoning
CHEBI:30297,antimonite
CHEBI:33658,arene
CHEBI:16977,l-alanine
CHEBI:16277,haloacetic acid
CHEBI:32564,lysinium(1+)
CHEBI:55417,maleimides
CHEBI:63153,n-acetyl-d-mannosamine
CHEBI:58214,kanamycin a(4+)
CHEBI:18154,polysaccharide
CHEBI:17833,gentamycin
CHEBI:33549,uronate
CHEBI:24844,inosines
CHEBI:29922,sulfo group
CHEBI:26395,purine nucleotide
CHEBI:16811,methionine
CHEBI:72947,kanamycin d(3+)
CHEBI:80291,aliphatic nitrile
CHEBI:22314,alkali metal atom
CHEBI:63471,branched-chain amino-acid anion
CHEBI:7203,n-acetylhexosamine
CHEBI:70727,topoisomerase inhibitor
CHEBI:24373,glycine derivative
CHEBI:32952,amine
CHEBI:21759,n-methyl-n'-nitro-n-nitrosoguanidine
CHEBI:84561,"2,4-dinitrophenol(1-)"
CHEBI:48854,sulfurous acid
CHEBI:35973,3-oxo monocarboxylic acid anion
CHEBI:48843,disodium selenite
CHEBI:35695,dicarboxylic acid monoanion
CHEBI:26979,organic heterotricyclic compound
CHEBI:28976,carbonic acid
CHEBI:51384,d-ascorbic acid
CHEBI:36683,organochlorine compound
CHEBI:76414,propellant
CHEBI:51277,thioester
CHEBI:30488,sulfonium
CHEBI:32666,l-glutaminium
CHEBI:29995,aspartate(2-)
CHEBI:78675,fundamental metabolite
CHEBI:27311,volatile oil component
CHEBI:22918,branched-chain amino acid
CHEBI:38468,indol-3-yl carboxylic acid anion
CHEBI:38773,quinolinemonocarboxylate
CHEBI:33504,alkali metal cation
CHEBI:33262,elemental oxygen
CHEBI:45696,hydrogensulfate
CHEBI:59062,polymyxin
CHEBI:82663,elemental iron
CHEBI:76964,penicillium metabolite
CHEBI:33321,rare earth metal atom
CHEBI:23636,deoxyribonucleoside
CHEBI:42017,"2,4-dinitrophenol"
CHEBI:24833,oxoacid
CHEBI:5417,glucosamine
CHEBI:51308,dinitrile
CHEBI:32637,d-methioninate
CHEBI:60911,racemate
CHEBI:17568,uracil
CHEBI:36919,antimony molecular entity
CHEBI:25432,muramic acids
CHEBI:35987,diamino acid
CHEBI:33285,heteroorganic entity
CHEBI:24043,flavones
CHEBI:30745,phenylacetic acid
CHEBI:136889,5beta steroid
CHEBI:65053,ec 4.1.1.19 (arginine decarboxylase) inhibitor
CHEBI:27659,2-oxo aldehyde
CHEBI:30929,"2,3-dihydroxybutanedioate"
